[:24620:][info][Core]: Active Thread: [2304726969]
[:24620:][info][Core]: Active Thread: [1393437530]
[:24620:][info][Core]: Active Thread: [2387039844]
[:24620:][info][Core]: Active Thread: [2759393426]
[:24620:][info][Core]: Active Thread: [3100992729]
[:24620:][info][Core]: Active Thread: [376130916]
[:24620:][info][Core]: Active Thread: [3417739904]
[:24620:][info][Core]: Active Thread: [2610587213]
[:24620:][info][Core]: Active Thread: [1848599640]
[:24620:][info][Core]: Active Thread: [2216722802]
[:24620:][info][Core]: Active Thread: [1211268338]
[:24620:][info][Core]: Active Thread: [1137492401]
[:24620:][info][Core]: Active Thread: [868703816]
[:24620:][info][Core]: Active Thread: [3578135234]
[:24620:][info][Core]: Active Thread: [645312969]
[:24620:][info][Core]: Active Thread: [1707026015]
[:24620:][info][Core]: Active Thread: [2512611323]
[:24620:][info][Core]: Active Thread: [3926471472]
[:24620:][info][Core]: Active Thread: [2563674266]
[:24620:][info][Core]: Active Thread: [517704541]
[:24620:][info][Core]: Active Thread Totoal Count: 20 
[:24620:][trace][Graphics]: DirectX12 Init Start
[:24620:][trace][Graphics]: Success Create D3D12Device
[:24620:][info][Graphics]: Description : NVIDIA GeForce RTX 3080
[:24620:][info][Graphics]: VideoMemory : 10078  MB
[:24620:][trace][Graphics]: Create DescriptorAllocator...
[:24620:][trace][Graphics]: Create CommandQueue...
[:24620:][trace][Graphics]: Create FrameBuffer...
[:24620:][trace][Graphics]: DirectX12 Init End
[:24620:][trace][Graphics]: Startup Graphics Module...
[:24620:][trace][JGEditor]: Startup JGEditor Module...
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonClick
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonClick
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonClick
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonClick
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonClick
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLButtonDown
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseMove
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLeave
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseEnter
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseMove
[:24620:][info][GUI]: [ 1115059249-4356-19891-16932249241531982271 ]: OnMouseLeave
